Temperature(C),Turbidity(NTU),Dissolved_Oxygen(g/ml),PH,Ammonia(g/ml),Nitrate(g/ml),Population,Dia_Cultivo,Fish_Weight(g)
25.239440675291892,28.799305774692332,12.845869674976333,8.271039804354686,1611782.6969125937,592.6456295361313,50.0,0,3.4908905465610602
25.418894693710307,63.46665642286417,14.105856740422043,8.077193714402787,4569427.002318016,389.18689817660317,55.9580516287646,1,3.2888096701495595
25.891782151999294,64.71422896990026,13.786890369847296,7.989866559272663,1099.3173787920823,365.45816047312206,56.79892311766264,2,3.891416337550225
25.24143020796616,60.94031253671719,10.032142638937845,8.02817124779697,2114.7268219239804,335.7151921043356,56.14205146281283,3,4.6021354762778754
24.894656296374816,63.39177443290227,11.483070065719737,7.970933559465763,203519.7070641571,296.28376086495655,56.71507313970744,4,5.6655292407959505
24.327834394904457,60.73671337579618,11.013891210191082,7.959844368917198,283177.0348291119,298.77987261146495,56.41528662420382,5,6.5054751591774265
24.22723952245784,64.3629153447988,15.138094423109033,7.898834569210219,22615213.868393924,299.25705460010016,55.167807647353484,6,7.334882880614544
24.972311919329254,75.08690233401315,13.081231928393382,7.791947250169952,2832.6122548412645,291.74665760253794,56.3732154996601,7,8.23787154804668
24.861189253098498,83.55609915198956,12.907625733855186,7.733004590671885,573692461.0200533,230.40851272015655,54.5295172863666,10,10.539567375279029
24.400401962831488,87.32850281896012,9.558410482355397,7.676940919189811,34815410.208255984,217.2885362288578,54.84025892670704,11,11.357197805906035
24.360261138705614,87.26977537252576,17.173260286159092,7.604174577062792,178956230.19536224,205.63325672770407,55.004077396397065,12,12.07991845069983
24.80666246880488,85.80659025787966,16.844003835844347,7.666164447730845,490804359.36310494,204.7522876421111,52.57070893797948,13,13.01882230890794
25.03895077720207,85.6180310880829,17.259246715025906,7.530152325803109,399774350.65368354,219.1039170984456,54.90051813471503,14,13.655209414676063
24.300482322533,84.10551093879812,12.791827056217114,7.372946704052432,164137872.7453256,225.94632142527462,56.03480107080218,15,14.582381875488784
23.728679669373548,83.14199535962877,16.39899704176334,7.3277218410672855,215744120.98638788,216.14419953596288,56.0237819025522,16,16.28220459179118
25.125,77.66666666666667,14.655333333333331,7.486409999999999,51024675.10378,245.0,50.0,17,17.643809523333335
24.36706349206349,68.36507936507937,12.314468253968254,7.449697301587302,414.2063214285714,234.84126984126985,54.36507936507937,18,19.30103174738095
25.09890625,66.48008928571429,15.167273482142857,7.418037685714285,110325182.39221612,231.43044642857143,55.70982142857143,19,21.1046479577625
25.22676998315844,58.411063609275814,13.02928164269983,7.390489340588159,492610937.38457966,237.83948698017878,55.13343697370126,20,23.00466085514963
24.629188681868744,61.0055617352614,10.721299870226177,7.34833131071561,88133866.69151314,227.39441972562105,54.05079718205413,21,24.992556807698367
24.41876682513317,67.739561257804,11.838658857895641,7.367947785096511,314543807.41114926,229.78967867575463,54.5449338450083,22,26.44344406896157
24.790078495155928,71.97553214058412,10.573278551729015,7.343244561205006,202928422.1041487,221.18407467647268,53.724984088819745,23,27.508131170012728
24.09897151252959,76.34601257040242,10.062320137131662,7.3417087380621995,311507900.3432975,209.21704350665252,53.59562484695127,24,29.54372914196147
23.999143714689264,80.02916666666667,13.75510056497175,7.359666997881356,510557279.0841675,221.11129943502826,54.284957627118644,25,30.723427664886298
24.978281905657646,80.46614093474172,11.402209882795544,7.3572766893358414,186831900.559766,237.51794241064968,55.172912747793376,26,32.3219445176863
24.456374116860797,76.0045827763987,9.655499904525492,7.3192995445865945,290794922.1755323,249.95865953790337,55.274966583922094,27,33.69711285083922
23.576282358581015,74.02037392138064,11.256316634707575,7.383367485618408,1055945.888223792,214.05081495685522,52.68456375838926,28,36.50874126682407
23.93555915189042,73.03855896425556,11.954474997654565,7.288915833567877,98940400.36140478,218.07402195327893,53.01153954404728,29,36.36207899427714
24.50453408829616,66.76143941135894,9.50903897447689,7.218445404690733,276773426.5851174,228.89169924120486,52.59829845941596,30,35.74430640920212
24.477490606696872,72.5975245883523,7.815882528456183,7.231300083987181,427026475.14989406,237.95027074814897,55.07514642501934,31,38.76675986390761
24.955932993031922,67.51466537028034,7.518686922702966,7.223372952519851,131339177.82817987,289.3916707178739,58.56425214713985,32,41.50664513879274
24.381838791473267,67.86453498366856,10.322558535327488,7.208559153343648,330896908.95811033,387.88593776860927,58.48160563864535,33,41.93212013930806
23.968564755758987,74.32265326029864,12.626300667817214,7.199348630599535,1108116267.1483943,403.00262624746756,57.280333158250166,34,43.27662135871239
23.991588407239256,74.38429006779029,13.03644965482928,7.230403997761055,749006549.5801833,518.3117109272964,56.774364077368,35,44.717019093067975
24.238852465065932,74.34235386734895,11.401284688053533,7.172879969002165,990428262.4175292,566.0456111001771,57.09629010037394,36,45.88813099217329
24.353561506720595,67.23058381337582,11.877771867467418,7.223169195979899,227820524.60517123,516.3225476978388,55.39486048126813,37,46.98012460630429
24.09812900249647,66.98149354173451,12.267843861934223,7.244341131010528,281194044.4156675,472.3956366004559,54.23586236839249,38,47.31824603508629
24.068545671208746,64.79052898813534,11.97270182892078,7.28962194342262,237253642.36910844,487.0712398321331,54.385783120045595,39,48.79223008461271
24.400752508361204,63.1480085132259,8.221582669504409,7.274198170264518,126378972.10737567,498.06512617816963,53.888719975676494,40,49.23972175615993
24.689086961601372,45.77817587039489,9.436195887530182,7.240012045330633,194098.26217076718,391.46358750681514,50.15966975621154,41,46.699303238058256
24.458909654438635,38.267937271591805,17.922810149419437,7.281477589859832,49206819.135841176,582.3537493639266,53.57935883795161,42,51.8397084309585
24.44725978315055,47.431206380857425,18.543829947657027,7.295607195289133,3192.9406961319914,699.1800847457627,54.53950648055832,43,54.07061939181331
24.743406179351922,48.26802310977141,19.74585782466717,7.360165724692288,787.0014413112284,670.3001758352173,54.0756091434313,44,57.29709010638533
24.64541108986616,68.05076481835565,16.93994244741874,7.40673859751434,761.7973455172083,600.7997131931166,53.27676864244742,45,59.275334334345125
24.731607459010085,60.07143406974059,19.069617196520667,7.2819406219690554,72862.14543841967,660.8017088753753,53.59094757909322,46,62.36902800761681
25.055559324793748,71.4134824142423,17.62118139383413,7.358765674120711,245.17953043421628,802.7091836734694,54.515848892748586,47,65.37679548459076
24.680486284289277,75.51608159089456,13.108744229170664,7.333595873777096,57.345948467293304,909.0710403478483,55.22411918920647,48,69.07870707943859
23.859375,60.25,10.481333333333334,6.724916666666666,37.83909666666667,750.1666666666666,50.0,49,61.321666666666665
24.599921499198288,81.26002137894174,8.174867450561196,7.311416695617316,15.817593291020843,894.1408337787279,54.232362373062536,50,72.18308524853019
24.20430424528302,81.12106918238993,8.896986722571627,7.299537161949685,51.3469695230608,885.6695492662474,54.5379105520615,51,75.66465059459031
24.653701439187284,83.87404759665131,6.0259269118615375,7.300365145329696,4.51988886746308,958.7290941585928,55.45103941303734,52,81.5013341098937
24.044044530912235,80.81166234327713,8.162848303069607,7.276277821552097,1.9869793514915695,887.2283290099438,53.029074794638994,53,78.33789150513348
23.709688414471934,80.27986166533653,6.690017890396382,7.255891600159617,1.6457016580207502,881.9329608938548,52.690210162277204,54,80.6289696087397
23.43617989475202,81.30204728950403,6.355197880622837,7.248526544838524,0.9530666198096887,997.7004036908882,53.058318915801614,55,83.56174823205018
23.94074717556117,81.04214360041624,6.167880184331797,7.214867472870521,0.8599313817452058,977.650215549279,53.63460680838412,56,88.14198952058867
24.455942044331497,81.66560779330793,6.611772130453198,7.2250632366228995,0.5195384963998305,1067.278413101793,54.18078497811662,57,93.7270506847381
24.370062119675456,82.85567951318458,7.2005341784989865,7.143936877281947,0.48452447261663284,1140.0760649087222,58.719574036511155,58,106.66110867068966
24.122910312060064,81.92573908962929,9.944741083998123,7.123067233693102,0.27720101126231816,1192.0011731581417,60.30912717034256,59,115.16428955797747
23.560702746365106,82.09967689822294,10.249454442649435,7.135803205169628,0.2658457592891761,1253.0232633279484,60.44022617124394,60,122.20596330130857
23.79237891737892,79.77207977207978,11.37009829059829,7.141353212250712,0.2602907692307692,1268.1082621082621,59.66880341880342,61,126.34703398831908
24.387910017730498,76.77482269503547,4.375652482269503,7.226566320921986,0.3041474734042553,1116.4290780141844,56.49379432624114,63,138.9924531317376
23.82103863381859,77.60246360582306,4.780706047032475,7.207450912653975,0.34984699888017917,1133.9557670772676,56.92889137737962,64,144.87086786114222
